2010-11-03T10:49:39-0600	PUMP2	OFF	71.21	0.631	0.399
2010-11-03T10:49:42-0600	PUMP3	OFF	75.05	-0.370	0.333
2010-11-03T10:50:14-0600	PUMP1	ON	280.45	27.679	27.715
2010-11-03T10:50:17-0600	PUMP2	ON	271.77	27.659	27.920
2010-11-03T10:50:20-0600	PUMP3	ON	254.66	28.011	28.028
2010-11-03T10:50:39-0600	PUMP1	OFF	74.28	0.241	0.062
2010-11-03T10:50:42-0600	PUMP2	OFF	60.33	-0.229	0.323
2010-11-03T10:50:45-0600	PUMP3	OFF	63.35	0.144	0.386
2010-11-03T10:51:31-0600	PUMP1	ON	282.44	26.976	27.632
2010-11-03T10:51:34-0600	PUMP2	ON	275.27	27.696	26.939
2010-11-03T10:51:37-0600	PUMP3	ON	253.35	27.188	28.032
2010-11-03T10:51:56-0600	PUMP1	OFF	75.27	0.128	0.018
2010-11-03T10:51:59-0600	PUMP2	OFF	64.13	0.645	0.570
2010-11-03T10:52:02-0600	PUMP3	OFF	71.97	-0.186	-0.586
2010-11-03T10:52:45-0600	PUMP1	ON	279.38	27.700	28.121
2010-11-03T10:52:48-0600	PUMP2	ON	273.01	27.417	27.036
2010-11-03T10:52:51-0600	PUMP3	ON	246.82	27.848	28.087
2010-11-03T10:53:08-0600	PUMP1	OFF	83.78	-0.413	0.445
2010-11-03T10:53:11-0600	PUMP2	OFF	69.09	0.607	-0.426
2010-11-03T10:53:14-0600	PUMP3	OFF	82.43	-0.545	0.528
2010-11-03T10:54:00-0600	PUMP1	ON	274.12	27.570	26.791
2010-11-03T10:54:03-0600	PUMP2	ON	266.89	27.683	27.106
2010-11-03T10:54:06-0600	PUMP3	ON	253.65	27.056	27.263
2010-11-03T10:54:25-0600	PUMP1	OFF	73.75	0.377	-0.450
2010-11-03T10:54:28-0600	PUMP2	OFF	65.98	-0.391	-0.116
2010-11-03T10:54:31-0600	PUMP3	OFF	75.42	-0.003	0.571
2010-11-03T10:55:07-0600	PUMP1	ON	281.25	27.359	26.979
2010-11-03T10:55:10-0600	PUMP2	ON	279.00	27.724	27.923
2010-11-03T10:55:13-0600	PUMP3	ON	257.00	26.858	27.657
2010-11-03T10:55:35-0600	PUMP1	OFF	76.14	-0.565	-0.275
2010-11-03T10:55:38-0600	PUMP2	OFF	78.76	-0.374	-0.356
2010-11-03T10:55:41-0600	PUMP3	OFF	84.04	-0.251	-0.105
2010-11-03T10:56:27-0600	PUMP1	ON	282.73	27.493	27.697
2010-11-03T10:56:30-0600	PUMP2	ON	273.51	27.543	27.358
2010-11-03T10:56:33-0600	PUMP3	ON	245.42	27.841	28.001
2010-11-03T10:56:50-0600	PUMP1	OFF	75.13	-0.161	0.639
2010-11-03T10:56:53-0600	PUMP2	OFF	74.52	-0.062	0.295
2010-11-03T10:56:56-0600	PUMP3	OFF	80.03	0.186	0.062
2010-11-03T10:57:33-0600	PUMP1	ON	282.43	27.500	27.556
2010-11-03T10:57:36-0600	PUMP2	ON	266.79	27.048	27.489
2010-11-03T10:57:39-0600	PUMP3	ON	244.61	27.057	27.236
2010-11-03T10:57:57-0600	PUMP1	OFF	76.72	0.569	0.333
2010-11-03T10:58:00-0600	PUMP2	OFF	72.10	0.701	0.426
2010-11-03T10:58:03-0600	PUMP3	OFF	83.91	0.685	-0.001
2010-11-03T10:58:43-0600	PUMP1	ON	273.67	27.018	27.641
2010-11-03T10:58:46-0600	PUMP2	ON	259.57	27.295	27.128
2010-11-03T10:58:49-0600	PUMP3	ON	234.60	26.840	26.724
2010-11-03T10:59:06-0600	PUMP1	OFF	68.34	0.571	0.728
2010-11-03T10:59:09-0600	PUMP2	OFF	51.89	0.586	-0.155
2010-11-03T10:59:12-0600	PUMP3	OFF	57.43	0.023	0.456
2010-11-03T10:59:57-0600	PUMP1	ON	272.67	27.500	27.819
2010-11-03T11:00:00-0600	PUMP2	ON	272.19	27.346	27.775
2010-11-03T11:00:03-0600	PUMP3	ON	242.75	26.842	26.961
2010-11-03T11:00:21-0600	PUMP1	OFF	72.31	0.221	-0.018
2010-11-03T11:00:24-0600	PUMP2	OFF	63.87	0.618	-0.586
2010-11-03T11:00:27-0600	PUMP3	OFF	75.50	0.803	0.490
2010-11-03T11:01:05-0600	PUMP1	ON	281.57	27.636	26.855
2010-11-03T11:01:08-0600	PUMP2	ON	268.91	28.091	26.873
2010-11-03T11:01:11-0600	PUMP3	ON	252.13	27.676	27.445
2010-11-03T11:01:26-0600	PUMP1	OFF	80.25	0.622	-0.068
2010-11-03T11:01:29-0600	PUMP2	OFF	64.06	-0.012	-0.469
2010-11-03T11:01:32-0600	PUMP3	OFF	63.26	-0.602	-0.435
2010-11-03T11:02:14-0600	PUMP1	ON	286.17	27.905	28.198
2010-11-03T11:02:17-0600	PUMP2	ON	284.64	27.401	27.705
2010-11-03T11:02:20-0600	PUMP3	ON	264.21	27.302	27.902
2010-11-03T11:02:39-0600	PUMP1	OFF	81.98	-0.311	-0.358
2010-11-03T11:02:42-0600	PUMP2	OFF	75.17	-0.202	0.497
2010-11-03T11:02:45-0600	PUMP3	OFF	76.68	0.385	0.111
