2010-11-04T11:44:07-0600	malla_2_detect	 --> Detect	90:02
2010-11-04T12:02:08-0600	malla_1_detect	 --> Detect	108:03
2010-11-04T13:14:11-0600	malla_2_detect	 --> Detect	90:04
2010-11-04T13:50:13-0600	malla_1_detect	 --> Detect	108:05
2010-11-04T14:44:15-0600	malla_2_detect	 --> Detect	90:04
2010-11-04T18:06:37-0600	malla_1_detect	 --> Detect	256:24
2010-11-04T18:06:41-0600	malla_2_detect	 --> Detect	202:26
2010-11-04T18:06:49-0600	malla_1_detect	 --> Detect	00:12
2010-11-04T18:06:50-0600	malla_2_detect	 --> Detect	00:09
2010-11-04T19:38:12-0600	malla_2_detect	 --> Detect	91:22
2010-11-04T19:38:12-0600	malla_1_detect	 --> Detect	91:23
